"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00025333","SITKA","2023-08-01",,"61","53"
"USW00025333","SITKA","2023-08-01",,"61","53"
"USW00025333","SITKA","2023-08-01",,"61","53"
"USW00025333","SITKA","2023-08-01",,"61","53"
"USW00025333","SITKA","2023-08-01",,"61","53"
"USW00025333","SITKA","2023-08-01",,"61","53"
"USW00025333","SITKA","2023-08-01",,"61","53"
"USW00025333","SITKA","2023-08-01",,"61","53"
"USW00025333","SITKA","2023-08-01",,"61","53"
"USW00025333","SITKA","2023-08-01",,"61","53"
"USW00025333","SITKA","2023-08-01",,"61","53"